# Test Execution Report - Google Patents Automation
# Generated: 2026-03-25 11:52:06
# Project: Google Patents Automation
# Company: QA Team

## EXECUTION SUMMARY
Metric,Value
Total Scenarios,5
Passed Scenarios,3
Failed Scenarios,1
Skipped Scenarios,1
Success Rate,60.00%
Total Duration,0.00 seconds
Average Duration,15.40 seconds
Peak Memory Usage,0.00 MB

## EXECUTION STATISTICS
Property,Value
Execution Start Time,2026-03-25 11:52:06
Execution End Time,2026-03-25 11:52:06
Total Execution Time,0.00 seconds
Slowest Scenario,PDF Download
Slowest Scenario Duration,45.00 seconds
Fastest Scenario,E2E Workflow
Fastest Scenario Duration,0.00 seconds

## SCENARIO DETAILS
Scenario Name,Status,Duration (seconds),Browser,Start Time,End Time
Launch Chrome,PASS,5.00,Chrome,2026-03-25 11:50:26,2026-03-25 11:50:31
Google Search,PASS,12.00,Chrome,2026-03-25 11:50:26,2026-03-25 11:50:38
Patent Search,PASS,15.00,Chrome,2026-03-25 11:50:26,2026-03-25 11:50:41
PDF Download,FAIL,45.00,Chrome,2026-03-25 11:50:26,2026-03-25 11:51:11
E2E Workflow,SKIP,0.00,Chrome,2026-03-25 11:50:26,2026-03-25 11:50:26

## FAILED SCENARIOS
Scenario Name,Duration (seconds),Error Message
PDF Download,45.00,

